"","team1","team2","winner","season","team1_seed","team2_seed"
"519","Kansas","Georgia Tech","Georgia Tech",2004,4,3
"520","Duke","Alabama State","Duke",2004,1,16
"521","Seton Hall","Arizona","Seton Hall",2004,8,9
"522","Illinois","Murray State","Illinois",2004,5,12
"523","Cincinnati","ETSU","Cincinnati",2004,4,13
"524","UNC","Air Force","UNC",2004,6,11
"525","Texas","Princeton","Texas",2004,3,14
"526","Xavier","Louisville","Xavier",2004,7,10
"527","Mississippi State","Monmouth","Mississippi State",2004,2,15
"528","Duke","Seton Hall","Duke",2004,1,8
"529","Illinois","Cincinnati","Illinois",2004,5,4
"530","UNC","Texas","Texas",2004,6,3
"531","Xavier","Mississippi State","Xavier",2004,7,2
"532","Duke","Illinois","Duke",2004,1,5
"533","Texas","Xavier","Xavier",2004,3,7
"534","Duke","Xavier","Duke",2004,1,7
"535","St. Joseph's","Liberty","St. Joseph's",2004,1,16
"536","Texas Tech","Charlotte","Texas Tech",2004,8,9
"537","Florida","Manhattan","Manhattan",2004,5,12
"538","Wake Forest","VCU","Wake Forest",2004,4,13
"539","Wisconsin","Richmond","Wisconsin",2004,6,11
"540","Pitt","UCF","Pitt",2004,3,14
"541","Memphis","South Carolina","Memphis",2004,7,10
"542","Oklahoma State","Eastern Washington","Oklahoma State",2004,2,15
"543","St. Joseph's","Texas Tech","St. Joseph's",2004,1,8
"544","Manhattan","Wake Forest","Wake Forest",2004,12,4
"545","Wisconsin","Pitt","Pitt",2004,6,3
"546","Memphis","Oklahoma State","Oklahoma State",2004,7,2
"547","St. Joseph's","Wake Forest","St. Joseph's",2004,1,4
"548","Pitt","Oklahoma State","Oklahoma State",2004,3,2
"549","St. Joseph's","Oklahoma State","Oklahoma State",2004,1,2
"550","Stanford","UTSA","Stanford",2004,1,16
"551","Alabama","Southern Illinois","Alabama",2004,8,9
"552","Syracuse","BYU","Syracuse",2004,5,12
"553","Maryland","UTEP","Maryland",2004,4,13
"554","Vanderbilt","Western Michigan","Vanderbilt",2004,6,11
"555","NC State","Louisiana","NC State",2004,3,14
"556","DePaul","Dayton","DePaul",2004,7,10
"557","UConn","Vermont","UConn",2004,2,15
"558","Stanford","Alabama","Alabama",2004,1,8
"559","Syracuse","Maryland","Syracuse",2004,5,4
"560","Vanderbilt","NC State","Vanderbilt",2004,6,3
"561","DePaul","UConn","UConn",2004,7,2
"562","Alabama","Syracuse","Alabama",2004,8,5
"563","Vanderbilt","UConn","UConn",2004,6,2
"564","Alabama","UConn","UConn",2004,8,2
"565","UConn","Duke","UConn",2004,2,1
"566","Oklahoma State","Georgia Tech","Georgia Tech",2004,2,3
"567","UConn","Georgia Tech","Georgia Tech",2004,2,3
"568","UNC","Oakland","UNC",2005,1,16
"569","Minnesota","Iowa State","Iowa State",2005,8,9
"570","Villanova","New Mexico","Villanova",2005,5,12
"571","Florida","Ohio","Florida",2005,4,13
"572","Wisconsin","Northern Iowa","Wisconsin",2005,6,11
"573","Kansas","Bucknell","Bucknell",2005,3,14
"574","Charlotte","NC State","NC State",2005,7,10
"575","UConn","UCF","UConn",2005,2,15
"576","UNC","Iowa State","UNC",2005,1,9
"577","Villanova","Florida","Villanova",2005,5,4
"578","Wisconsin","Bucknell","Wisconsin",2005,6,14
"579","NC State","UConn","NC State",2005,10,2
"580","UNC","Villanova","UNC",2005,1,5
"581","Wisconsin","NC State","Wisconsin",2005,6,10
"582","UNC","Wisconsin","UNC",2005,1,6
"583","Washington","Montana","Washington",2005,1,16
"584","Pacific","Pitt","Pacific",2005,8,9
"585","Georgia Tech","George Washington","Georgia Tech",2005,5,12
"586","Louisville","Louisiana","Louisville",2005,4,13
"587","Texas Tech","UCLA","Texas Tech",2005,6,11
"588","Gonzaga","Winthrop","Gonzaga",2005,3,14
"589","West Virginia","Creighton","West Virginia",2005,7,10
"590","Wake Forest","Chattanooga","Wake Forest",2005,2,15
"591","Washington","Pacific","Washington",2005,1,8
"592","Georgia Tech","Louisville","Louisville",2005,5,4
"593","Texas Tech","Gonzaga","Texas Tech",2005,6,3
"594","West Virginia","Wake Forest","West Virginia",2005,7,2
"595","Washington","Louisville","Louisville",2005,1,4
"596","Texas Tech","West Virginia","West Virginia",2005,6,7
"597","Louisville","West Virginia","Louisville",2005,4,7
"598","Duke","Delaware State","Duke",2005,1,16
"599","Stanford","Mississippi State","Mississippi State",2005,8,9
"600","Michigan State","Old Dominion","Michigan State",2005,5,12
"601","Syracuse","Vermont","Vermont",2005,4,13
"602","Utah","UTEP","Utah",2005,6,11
"603","Oklahoma","Niagara","Oklahoma",2005,3,14
"604","Cincinnati","Iowa","Cincinnati",2005,7,10
"605","Kentucky","Eastern Kentucky","Kentucky",2005,2,15
"606","Duke","Mississippi State","Duke",2005,1,9
"607","Michigan State","Vermont","Michigan State",2005,5,13
"608","Utah","Oklahoma","Utah",2005,6,3
"609","Cincinnati","Kentucky","Kentucky",2005,7,2
"610","Duke","Michigan State","Michigan State",2005,1,5
"611","Utah","Kentucky","Kentucky",2005,6,2
"612","Michigan State","Kentucky","Michigan State",2005,5,2
"613","Illinois","Fairleigh Dickinson","Illinois",2005,1,16
"614","Texas","Nevada","Nevada",2005,8,9
"615","Alabama","Milwaukee","Milwaukee",2005,5,12
"616","Boston College","Penn","Boston College",2005,4,13
"617","LSU","Alabama-Birmingham","Alabama-Birmingham",2005,6,11
"618","Arizona","Utah State","Arizona",2005,3,14
"619","Southern Illinois","Saint Mary's","Southern Illinois",2005,7,10
"620","Oklahoma State","Southeastern Louisiana","Oklahoma State",2005,2,15
"621","Illinois","Nevada","Illinois",2005,1,9
"622","Milwaukee","Boston College","Milwaukee",2005,12,4
"623","Alabama-Birmingham","Arizona","Arizona",2005,11,3
"624","Southern Illinois","Oklahoma State","Oklahoma State",2005,7,2
"625","Illinois","Milwaukee","Illinois",2005,1,12
"626","Arizona","Oklahoma State","Arizona",2005,3,2
"627","Illinois","Arizona","Illinois",2005,1,3
"628","UNC","Michigan State","UNC",2005,1,5
"629","Louisville","Illinois","Illinois",2005,4,1
"630","UNC","Illinois","UNC",2005,1,1
"631","Villanova","Monmouth","Villanova",2006,1,16
"632","Arizona","Wisconsin","Arizona",2006,8,9
"633","Nevada","Montana","Montana",2006,5,12
"634","Boston College","Pacific","Boston College",2006,4,13
"635","Oklahoma","Milwaukee","Milwaukee",2006,6,11
"636","Florida","South Alabama","Florida",2006,3,14
"637","Georgetown","Northern Iowa","Georgetown",2006,7,10
"638","Ohio State","Davidson","Ohio State",2006,2,15
"639","Villanova","Arizona","Villanova",2006,1,8
"640","Montana","Boston College","Boston College",2006,12,4
"641","Milwaukee","Florida","Florida",2006,11,3
"642","Georgetown","Ohio State","Georgetown",2006,7,2
"643","Villanova","Boston College","Villanova",2006,1,4
"644","Florida","Georgetown","Florida",2006,3,7
"645","Villanova","Florida","Florida",2006,1,3
"646","Duke","Southern","Duke",2006,1,16
"647","George Washington","UNC Wilmington","George Washington",2006,8,9
"648","Syracuse","Texas A&M","Texas A&M",2006,5,12
"649","LSU","Iona","LSU",2006,4,13
"650","West Virginia","Southern Illinois","West Virginia",2006,6,11
"651","Iowa","Northwestern State","Northwestern State",2006,3,14
"652","California","NC State","NC State",2006,7,10
"653","Texas","Penn","Texas",2006,2,15
"654","Duke","George Washington","Duke",2006,1,8
"655","Texas A&M","LSU","LSU",2006,12,4
"656","West Virginia","Northwestern State","West Virginia",2006,6,14
"657","NC State","Texas","Texas",2006,10,2
"658","Duke","LSU","LSU",2006,1,4
"659","West Virginia","Texas","Texas",2006,6,2
"660","LSU","Texas","LSU",2006,4,2
"661","Memphis","Oral Roberts","Memphis",2006,1,16
"662","Arkansas","Bucknell","Bucknell",2006,8,9
"663","Pitt","Kent State","Pitt",2006,5,12
"664","Kansas","Bradley","Bradley",2006,4,13
"665","Indiana","San Diego State","Indiana",2006,6,11
"666","Gonzaga","Xavier","Gonzaga",2006,3,14
"667","Marquette","Alabama","Alabama",2006,7,10
"668","UCLA","Belmont","UCLA",2006,2,15
"669","Memphis","Bucknell","Memphis",2006,1,9
"670","Pitt","Bradley","Bradley",2006,5,13
"671","Indiana","Gonzaga","Gonzaga",2006,6,3
"672","Alabama","UCLA","UCLA",2006,10,2
"673","Memphis","Bradley","Memphis",2006,1,13
"674","Gonzaga","UCLA","UCLA",2006,3,2
"675","Memphis","UCLA","UCLA",2006,1,2
"676","UConn","Albany (NY)","UConn",2006,1,16
"677","Kentucky","Alabama-Birmingham","Kentucky",2006,8,9
"678","Washington","Utah State","Washington",2006,5,12
"679","Illinois","Air Force","Illinois",2006,4,13
"680","Michigan State","George Mason","George Mason",2006,6,11
"681","UNC","Murray State","UNC",2006,3,14
"682","Wichita State","Seton Hall","Wichita State",2006,7,10
"683","Tennessee","Winthrop","Tennessee",2006,2,15
"684","UConn","Kentucky","UConn",2006,1,8
"685","Washington","Illinois","Washington",2006,5,4
"686","George Mason","UNC","George Mason",2006,11,3
"687","Wichita State","Tennessee","Wichita State",2006,7,2
"688","UConn","Washington","UConn",2006,1,5
"689","George Mason","Wichita State","George Mason",2006,11,7
"690","UConn","George Mason","George Mason",2006,1,11
"691","Florida","George Mason","Florida",2006,3,11
"692","LSU","UCLA","LSU",2006,4,2
"693","Florida","UCLA","UCLA",2006,3,2
"694","Kansas","Niagara","Kansas",2007,1,16
"695","Kentucky","Villanova","Kentucky",2007,8,9
"696","Virginia Tech","Illinois","Virginia Tech",2007,5,12
"697","Southern Illinois","Holy Cross","Southern Illinois",2007,4,13
"698","Duke","VCU","VCU",2007,6,11
"699","Pitt","Wright State","Pitt",2007,3,14
"700","Indiana","Gonzaga","Indiana",2007,7,10
"701","UCLA","Weber State","UCLA",2007,2,15
"702","Kansas","Kentucky","Kansas",2007,1,8
"703","Virginia Tech","Southern Illinois","Southern Illinois",2007,5,4
"704","VCU","Pitt","Pitt",2007,11,3
"705","Indiana","UCLA","UCLA",2007,7,2
"706","Kansas","Southern Illinois","Kansas",2007,1,4
"707","Pitt","UCLA","UCLA",2007,3,2
"708","Kansas","UCLA","UCLA",2007,1,2
"709","UNC","Eastern Kentucky","UNC",2007,1,16
"710","Marquette","Michigan State","Michigan State",2007,8,9
"711","USC","Arkansas","USC",2007,5,12
"712","Texas","New Mexico State","Texas",2007,4,13
"713","Vanderbilt","George Washington","Vanderbilt",2007,6,11
"714","Washington State","Oral Roberts","Washington State",2007,3,14
"715","Boston College","Texas Tech","Boston College",2007,7,10
"716","Georgetown","Belmont","Georgetown",2007,2,15
"717","UNC","Michigan State","UNC",2007,1,9
"718","USC","Texas","USC",2007,5,4
"719","Vanderbilt","Washington State","Vanderbilt",2007,6,3
"720","Boston College","Georgetown","Georgetown",2007,7,2
"721","UNC","USC","UNC",2007,1,5
"722","Vanderbilt","Georgetown","Georgetown",2007,6,2
"723","UNC","Georgetown","Georgetown",2007,1,2
"724","Florida","Jackson State","Florida",2007,1,16
"725","Arizona","Purdue","Purdue",2007,8,9
"726","Butler","Old Dominion","Butler",2007,5,12
"727","Maryland","Davidson","Maryland",2007,4,13
"728","Notre Dame","Winthrop","Winthrop",2007,6,11
"729","Oregon","Miami (OH)","Oregon",2007,3,14
"730","UNLV","Georgia Tech","UNLV",2007,7,10
"731","Wisconsin","Texas A&M-Corpus Christi","Wisconsin",2007,2,15
"732","Florida","Purdue","Florida",2007,1,9
"733","Butler","Maryland","Butler",2007,5,4
"734","Winthrop","Oregon","Oregon",2007,11,3
"735","UNLV","Wisconsin","UNLV",2007,7,2
"736","Florida","Butler","Florida",2007,1,5
"737","Oregon","UNLV","Oregon",2007,3,7
"738","Florida","Oregon","Florida",2007,1,3
"739","Ohio State","Central Connecticut","Ohio State",2007,1,16
"740","BYU","Xavier","Xavier",2007,8,9
"741","Tennessee","Long Beach State","Tennessee",2007,5,12
"742","Virginia","Albany (NY)","Virginia",2007,4,13
"743","Louisville","Stanford","Louisville",2007,6,11
"744","Texas A&M","Penn","Texas A&M",2007,3,14
"745","Nevada","Creighton","Nevada",2007,7,10
"746","Memphis","North Texas","Memphis",2007,2,15
"747","Ohio State","Xavier","Ohio State",2007,1,9
"748","Tennessee","Virginia","Tennessee",2007,5,4
"749","Louisville","Texas A&M","Texas A&M",2007,6,3
"750","Nevada","Memphis","Memphis",2007,7,2
"751","Ohio State","Tennessee","Ohio State",2007,1,5
"752","Texas A&M","Memphis","Memphis",2007,3,2
"753","Ohio State","Memphis","Ohio State",2007,1,2
"754","Florida","UCLA","Florida",2007,1,2
"755","Georgetown","Ohio State","Georgetown",2007,2,1
"756","Florida","Ohio State","Florida",2007,1,1
"757","UNC","Mount St. Mary's","UNC",2008,1,16
"758","Indiana","Arkansas","Arkansas",2008,8,9
"759","Notre Dame","George Mason","Notre Dame",2008,5,12
"760","Washington State","Winthrop","Washington State",2008,4,13
"761","Oklahoma","St. Joseph's","Oklahoma",2008,6,11
"762","Louisville","Boise State","Louisville",2008,3,14
"763","Butler","South Alabama","Butler",2008,7,10
"764","Tennessee","American","Tennessee",2008,2,15
"765","UNC","Arkansas","UNC",2008,1,9
"766","Notre Dame","Washington State","Washington State",2008,5,4
"767","Oklahoma","Louisville","Louisville",2008,6,3
"768","Butler","Tennessee","Tennessee",2008,7,2
"769","UNC","Washington State","UNC",2008,1,4
"770","Louisville","Tennessee","Louisville",2008,3,2
"771","UNC","Louisville","UNC",2008,1,3
"772","Kansas","Portland State","Kansas",2008,1,16
"773","UNLV","Kent State","UNLV",2008,8,9
"774","Clemson","Villanova","Villanova",2008,5,12
"775","Vanderbilt","Siena","Siena",2008,4,13
"776","USC","Kansas State","Kansas State",2008,6,11
"777","Wisconsin","Cal State Fullerton","Wisconsin",2008,3,14
"778","Gonzaga","Davidson","Davidson",2008,7,10
"779","Georgetown","UMBC","Georgetown",2008,2,15
"780","Kansas","UNLV","Kansas",2008,1,8
"781","Villanova","Siena","Villanova",2008,12,13
"782","Kansas State","Wisconsin","Wisconsin",2008,11,3
"783","Davidson","Georgetown","Davidson",2008,10,2
"784","Kansas","Villanova","Kansas",2008,1,12
"785","Wisconsin","Davidson","Davidson",2008,3,10
"786","Kansas","Davidson","Kansas",2008,1,10
"787","Memphis","Texas-Arlington","Memphis",2008,1,16
"788","Mississippi State","Oregon","Mississippi State",2008,8,9
"789","Michigan State","Temple","Michigan State",2008,5,12
"790","Pitt","Oral Roberts","Pitt",2008,4,13
"791","Marquette","Kentucky","Marquette",2008,6,11
"792","Stanford","Cornell","Stanford",2008,3,14
"793","Miami (FL)","Saint Mary's","Miami (FL)",2008,7,10
"794","Texas","Austin Peay","Texas",2008,2,15
"795","Memphis","Mississippi State","Memphis",2008,1,8
"796","Michigan State","Pitt","Michigan State",2008,5,4
"797","Marquette","Stanford","Stanford",2008,6,3
"798","Miami (FL)","Texas","Texas",2008,7,2
"799","Memphis","Michigan State","Memphis",2008,1,5
"800","Stanford","Texas","Texas",2008,3,2
"801","Memphis","Texas","Memphis",2008,1,2
"802","UCLA","Mississippi Valley State","UCLA",2008,1,16
"803","BYU","Texas A&M","Texas A&M",2008,8,9
"804","Drake","Western Kentucky","Western Kentucky",2008,5,12
"805","UConn","San Diego","San Diego",2008,4,13
"806","Purdue","Baylor","Purdue",2008,6,11
"807","Xavier","Georgia","Xavier",2008,3,14
"808","West Virginia","Arizona","West Virginia",2008,7,10
"809","Duke","Belmont","Duke",2008,2,15
"810","UCLA","Texas A&M","UCLA",2008,1,9
"811","Western Kentucky","San Diego","Western Kentucky",2008,12,13
"812","Purdue","Xavier","Xavier",2008,6,3
"813","West Virginia","Duke","West Virginia",2008,7,2
"814","UCLA","Western Kentucky","UCLA",2008,1,12
"815","Xavier","West Virginia","Xavier",2008,3,7
"816","UCLA","Xavier","UCLA",2008,1,3
"817","Kansas","UNC","Kansas",2008,1,1
"818","UCLA","Memphis","Memphis",2008,1,1
"819","Kansas","Memphis","Kansas",2008,1,1
"820","Louisville","Morehead State","Louisville",2009,1,16
"821","Ohio State","Siena","Siena",2009,8,9
"822","Utah","Arizona","Arizona",2009,5,12
"823","Wake Forest","Cleveland State","Cleveland State",2009,4,13
"824","West Virginia","Dayton","Dayton",2009,6,11
"825","Kansas","North Dakota State","Kansas",2009,3,14
"826","Boston College","USC","USC",2009,7,10
"827","Michigan State","Robert Morris","Michigan State",2009,2,15
"828","Louisville","Siena","Louisville",2009,1,9
"829","Arizona","Cleveland State","Arizona",2009,12,13
"830","Dayton","Kansas","Kansas",2009,11,3
"831","USC","Michigan State","Michigan State",2009,10,2
"832","Louisville","Arizona","Louisville",2009,1,12
"833","Kansas","Michigan State","Michigan State",2009,3,2
"834","Louisville","Michigan State","Michigan State",2009,1,2
"835","Pitt","ETSU","Pitt",2009,1,16
"836","Oklahoma State","Tennessee","Oklahoma State",2009,8,9
"837","Florida State","Wisconsin","Wisconsin",2009,5,12
"838","Xavier","Portland State","Xavier",2009,4,13
"839","UCLA","VCU","UCLA",2009,6,11
"840","Villanova","American","Villanova",2009,3,14
"841","Texas","Minnesota","Texas",2009,7,10
"842","Duke","Binghamton","Duke",2009,2,15
"843","Pitt","Oklahoma State","Pitt",2009,1,8
"844","Wisconsin","Xavier","Xavier",2009,12,4
"845","UCLA","Villanova","Villanova",2009,6,3
"846","Texas","Duke","Duke",2009,7,2
"847","Pitt","Xavier","Pitt",2009,1,4
"848","Villanova","Duke","Villanova",2009,3,2
"849","Pitt","Villanova","Villanova",2009,1,3
"850","UNC","Radford","UNC",2009,1,16
"851","LSU","Butler","LSU",2009,8,9
"852","Illinois","Western Kentucky","Western Kentucky",2009,5,12
"853","Gonzaga","Akron","Gonzaga",2009,4,13
"854","Arizona State","Temple","Arizona State",2009,6,11
"855","Syracuse","Stephen F. Austin","Syracuse",2009,3,14
"856","Clemson","Michigan","Michigan",2009,7,10
"857","Oklahoma","Morgan State","Oklahoma",2009,2,15
"858","UNC","LSU","UNC",2009,1,8
"859","Western Kentucky","Gonzaga","Gonzaga",2009,12,4
"860","Arizona State","Syracuse","Syracuse",2009,6,3
"861","Michigan","Oklahoma","Oklahoma",2009,10,2
"862","UNC","Gonzaga","UNC",2009,1,4
"863","Syracuse","Oklahoma","Oklahoma",2009,3,2
"864","UNC","Oklahoma","UNC",2009,1,2
"865","UConn","Chattanooga","UConn",2009,1,16
"866","BYU","Texas A&M","Texas A&M",2009,8,9
"867","Purdue","Northern Iowa","Purdue",2009,5,12
"868","Washington","Mississippi State","Washington",2009,4,13
"869","Marquette","Utah State","Marquette",2009,6,11
"870","Missouri","Cornell","Missouri",2009,3,14
"871","California","Maryland","Maryland",2009,7,10
"872","Memphis","Cal State Northridge","Memphis",2009,2,15
"873","UConn","Texas A&M","UConn",2009,1,9
"874","Purdue","Washington","Purdue",2009,5,4
"875","Marquette","Missouri","Missouri",2009,6,3
"876","Maryland","Memphis","Memphis",2009,10,2
"877","UConn","Purdue","UConn",2009,1,5
"878","Missouri","Memphis","Missouri",2009,3,2
"879","UConn","Missouri","UConn",2009,1,3
"880","UNC","Villanova","UNC",2009,1,3
"881","UConn","Michigan State","Michigan State",2009,1,2
"882","UNC","Michigan State","Michigan State",2009,1,2
"883","Duke","Arkansas-Pine Bluff","Duke",2010,1,16
"884","California","Louisville","California",2010,8,9
"885","Texas A&M","Utah State","Texas A&M",2010,5,12
"886","Purdue","Siena","Purdue",2010,4,13
"887","Notre Dame","Old Dominion","Old Dominion",2010,6,11
"888","Baylor","Sam Houston State","Baylor",2010,3,14
"889","Richmond","Saint Mary's","Saint Mary's",2010,7,10
"890","Villanova","Robert Morris","Villanova",2010,2,15
"891","Duke","California","Duke",2010,1,8
"892","Texas A&M","Purdue","Purdue",2010,5,4
"893","Old Dominion","Baylor","Baylor",2010,11,3
"894","Saint Mary's","Villanova","Saint Mary's",2010,10,2
"895","Duke","Purdue","Duke",2010,1,4
"896","Baylor","Saint Mary's","Baylor",2010,3,10
"897","Duke","Baylor","Duke",2010,1,3
"898","Kentucky","ETSU","Kentucky",2010,1,16
"899","Texas","Wake Forest","Wake Forest",2010,8,9
"900","Temple","Cornell","Cornell",2010,5,12
"901","Wisconsin","Wofford","Wisconsin",2010,4,13
"902","Marquette","Washington","Washington",2010,6,11
"903","New Mexico","Montana","New Mexico",2010,3,14
"904","Clemson","Missouri","Missouri",2010,7,10
"905","West Virginia","Morgan State","West Virginia",2010,2,15
"906","Kentucky","Wake Forest","Kentucky",2010,1,9
"907","Cornell","Wisconsin","Cornell",2010,12,4
"908","Washington","New Mexico","Washington",2010,11,3
"909","Missouri","West Virginia","West Virginia",2010,10,2
"910","Kentucky","Cornell","Kentucky",2010,1,12
"911","Washington","West Virginia","West Virginia",2010,11,2
"912","Kentucky","West Virginia","West Virginia",2010,1,2
"913","Kansas","Lehigh","Kansas",2010,1,16
"914","UNLV","Northern Iowa","Northern Iowa",2010,8,9
"915","Michigan State","New Mexico State","Michigan State",2010,5,12
"916","Maryland","Houston","Maryland",2010,4,13
"917","Tennessee","San Diego State","Tennessee",2010,6,11
"918","Georgetown","Ohio","Ohio",2010,3,14
"919","Oklahoma State","Georgia Tech","Georgia Tech",2010,7,10
"920","Ohio State","UCSB","Ohio State",2010,2,15
"921","Kansas","Northern Iowa","Northern Iowa",2010,1,9
"922","Michigan State","Maryland","Michigan State",2010,5,4
"923","Tennessee","Ohio","Tennessee",2010,6,14
"924","Georgia Tech","Ohio State","Ohio State",2010,10,2
"925","Northern Iowa","Michigan State","Michigan State",2010,9,5
"926","Tennessee","Ohio State","Tennessee",2010,6,2
"927","Michigan State","Tennessee","Michigan State",2010,5,6
"928","Syracuse","Vermont","Syracuse",2010,1,16
"929","Gonzaga","Florida State","Gonzaga",2010,8,9
"930","Butler","UTEP","Butler",2010,5,12
"931","Vanderbilt","Murray State","Murray State",2010,4,13
"932","Xavier","Minnesota","Xavier",2010,6,11
"933","Pitt","Oakland","Pitt",2010,3,14
"934","BYU","Florida","BYU",2010,7,10
"935","Kansas State","North Texas","Kansas State",2010,2,15
"936","Syracuse","Gonzaga","Syracuse",2010,1,8
"937","Butler","Murray State","Butler",2010,5,13
"938","Xavier","Pitt","Xavier",2010,6,3
"939","BYU","Kansas State","Kansas State",2010,7,2
"940","Syracuse","Butler","Butler",2010,1,5
"941","Xavier","Kansas State","Kansas State",2010,6,2
"942","Butler","Kansas State","Butler",2010,5,2
"943","Duke","West Virginia","Duke",2010,1,2
"944","Michigan State","Butler","Michigan State",2010,5,5
"945","Duke","Butler","Duke",2010,1,5
"946","Ohio State","UTSA","Ohio State",2011,1,16
"947","George Mason","Villanova","George Mason",2011,8,9
"948","West Virginia","Clemson","West Virginia",2011,5,12
"949","Kentucky","Princeton","Kentucky",2011,4,13
"950","Xavier","Marquette","Marquette",2011,6,11
"951","Syracuse","Indiana State","Syracuse",2011,3,14
"952","Washington","Georgia","Washington",2011,7,10
"953","UNC","LIU","UNC",2011,2,15
"954","Ohio State","George Mason","Ohio State",2011,1,8
"955","West Virginia","Kentucky","Kentucky",2011,5,4
"956","Marquette","Syracuse","Marquette",2011,11,3
"957","Washington","UNC","UNC",2011,7,2
"958","Ohio State","Kentucky","Kentucky",2011,1,4
"959","Marquette","UNC","UNC",2011,11,2
"960","Kentucky","UNC","Kentucky",2011,4,2
"961","Pitt","UNC Asheville","Pitt",2011,1,16
"962","Butler","Old Dominion","Butler",2011,8,9
"963","Kansas State","Utah State","Kansas State",2011,5,12
"964","Wisconsin","Belmont","Wisconsin",2011,4,13
"965","St. John's (NY)","Gonzaga","Gonzaga",2011,6,11
"966","BYU","Wofford","BYU",2011,3,14
"967","UCLA","Michigan State","UCLA",2011,7,10
"968","Florida","UCSB","Florida",2011,2,15
"969","Pitt","Butler","Butler",2011,1,8
"970","Kansas State","Wisconsin","Wisconsin",2011,5,4
"971","Gonzaga","BYU","BYU",2011,11,3
"972","UCLA","Florida","Florida",2011,7,2
"973","Butler","Wisconsin","Butler",2011,8,4
"974","BYU","Florida","Florida",2011,3,2
"975","Butler","Florida","Butler",2011,8,2
"976","Kansas","Boston University","Kansas",2011,1,16
"977","UNLV","Illinois","Illinois",2011,8,9
"978","Vanderbilt","Richmond","Richmond",2011,5,12
"979","Louisville","Morehead State","Morehead State",2011,4,13
"980","Georgetown","VCU","VCU",2011,6,11
"981","Purdue","St. Peter's","Purdue",2011,3,14
"982","Texas A&M","Florida State","Florida State",2011,7,10
"983","Notre Dame","Akron","Notre Dame",2011,2,15
"984","Kansas","Illinois","Kansas",2011,1,9
"985","Richmond","Morehead State","Richmond",2011,12,13
"986","VCU","Purdue","VCU",2011,11,3
"987","Florida State","Notre Dame","Florida State",2011,10,2
"988","Kansas","Richmond","Kansas",2011,1,12
"989","VCU","Florida State","VCU",2011,11,10
"990","Kansas","VCU","VCU",2011,1,11
"991","Duke","Hampton","Duke",2011,1,16
"992","Michigan","Tennessee","Michigan",2011,8,9
"993","Arizona","Memphis","Arizona",2011,5,12
"994","Texas","Oakland","Texas",2011,4,13
"995","Cincinnati","Missouri","Cincinnati",2011,6,11
"996","UConn","Bucknell","UConn",2011,3,14
"997","Temple","Penn State","Temple",2011,7,10
"998","San Diego State","Northern Colorado","San Diego State",2011,2,15
"999","Duke","Michigan","Duke",2011,1,8
"1000","Arizona","Texas","Arizona",2011,5,4
"1001","Cincinnati","UConn","UConn",2011,6,3
"1002","Temple","San Diego State","San Diego State",2011,7,2
"1003","Duke","Arizona","Arizona",2011,1,5
"1004","UConn","San Diego State","UConn",2011,3,2
"1005","Arizona","UConn","UConn",2011,5,3
"1006","UConn","Kentucky","UConn",2011,3,4
"1007","VCU","Butler","VCU",2011,11,8
"1008","UConn","Butler","UConn",2011,3,8
"1009","UNC","Vermont","UNC",2012,1,16
"1010","Creighton","Alabama","Creighton",2012,8,9
"1011","Temple","South Florida","South Florida",2012,5,12
"1012","Michigan","Ohio","Ohio",2012,4,13
"1013","San Diego State","NC State","NC State",2012,6,11
"1014","Georgetown","Belmont","Georgetown",2012,3,14
"1015","Saint Mary's","Purdue","Purdue",2012,7,10
"1016","Kansas","Detroit","Kansas",2012,2,15
"1017","UNC","Creighton","UNC",2012,1,8
"1018","South Florida","Ohio","Ohio",2012,12,13
"1019","NC State","Georgetown","NC State",2012,11,3
"1020","Purdue","Kansas","Kansas",2012,10,2
"1021","UNC","Ohio","UNC",2012,1,13
"1022","NC State","Kansas","Kansas",2012,11,2
"1023","UNC","Kansas","Kansas",2012,1,2
"1024","Kentucky","Western Kentucky","Kentucky",2012,1,16
"1025","Iowa State","UConn","Iowa State",2012,8,9
"1026","Wichita State","VCU","VCU",2012,5,12
"1027","Indiana","New Mexico State","Indiana",2012,4,13
"1028","UNLV","Colorado","Colorado",2012,6,11
"1029","Baylor","South Dakota State","Baylor",2012,3,14
"1030","Notre Dame","Xavier","Xavier",2012,7,10
"1031","Duke","Lehigh","Lehigh",2012,2,15
"1032","Kentucky","Iowa State","Kentucky",2012,1,8
"1033","VCU","Indiana","Indiana",2012,12,4
"1034","Colorado","Baylor","Baylor",2012,11,3
"1035","Xavier","Lehigh","Xavier",2012,10,15
"1036","Kentucky","Indiana","Kentucky",2012,1,4
"1037","Baylor","Xavier","Baylor",2012,3,10
"1038","Kentucky","Baylor","Kentucky",2012,1,3
"1039","Michigan State","LIU","Michigan State",2012,1,16
"1040","Memphis","Saint Louis","Saint Louis",2012,8,9
"1041","New Mexico","Long Beach State","New Mexico",2012,5,12
"1042","Louisville","Davidson","Louisville",2012,4,13
"1043","Murray State","Colorado State","Murray State",2012,6,11
"1044","Marquette","BYU","Marquette",2012,3,14
"1045","Florida","Virginia","Florida",2012,7,10
"1046","Missouri","Norfolk State","Norfolk State",2012,2,15
"1047","Michigan State","Saint Louis","Michigan State",2012,1,9
"1048","New Mexico","Louisville","Louisville",2012,5,4
