"","team1","team2","winner","season","team1_seed","team2_seed"
"120","Charlotte","Utah","Utah",1997,7,2
"121","Kentucky","St. Joseph's","Kentucky",1997,1,4
"122","Stanford","Utah","Utah",1997,6,2
"123","Kentucky","Utah","Kentucky",1997,1,2
"124","Arizona","UNC","Arizona",1997,4,1
"125","Minnesota","Kentucky","Kentucky",1997,1,1
"126","Arizona","Kentucky","Arizona",1997,4,1
"127","UNC","Navy","UNC",1998,1,16
"128","Charlotte","UIC","Charlotte",1998,8,9
"129","Princeton","UNLV","Princeton",1998,5,12
"130","Michigan State","Eastern Michigan","Michigan State",1998,4,13
"131","Xavier","Washington","Washington",1998,6,11
"132","South Carolina","Richmond","Richmond",1998,3,14
"133","Indiana","Oklahoma","Indiana",1998,7,10
"134","UConn","Fairleigh Dickinson","UConn",1998,2,15
"135","UNC","Charlotte","UNC",1998,1,8
"136","Princeton","Michigan State","Michigan State",1998,5,4
"137","Washington","Richmond","Washington",1998,11,14
"138","Indiana","UConn","UConn",1998,7,2
"139","UNC","Michigan State","UNC",1998,1,4
"140","Washington","UConn","UConn",1998,11,2
"141","UNC","UConn","UNC",1998,1,2
"142","Kansas","Prairie View","Kansas",1998,1,16
"143","Rhode Island","Murray State","Rhode Island",1998,8,9
"144","TCU","Florida State","Florida State",1998,5,12
"145","Ole Miss","Valparaiso","Valparaiso",1998,4,13
"146","Clemson","Western Michigan","Western Michigan",1998,6,11
"147","Stanford","College of Charleston","Stanford",1998,3,14
"148","St. John's (NY)","Detroit","Detroit",1998,7,10
"149","Purdue","Delaware","Purdue",1998,2,15
"150","Kansas","Rhode Island","Rhode Island",1998,1,8
"151","Florida State","Valparaiso","Valparaiso",1998,12,13
"152","Western Michigan","Stanford","Stanford",1998,11,3
"153","Detroit","Purdue","Purdue",1998,10,2
"154","Rhode Island","Valparaiso","Rhode Island",1998,8,13
"155","Stanford","Purdue","Stanford",1998,3,2
"156","Rhode Island","Stanford","Stanford",1998,8,3
"157","Duke","Radford","Duke",1998,1,16
"158","Oklahoma State","George Washington","Oklahoma State",1998,8,9
"159","Syracuse","Iona","Syracuse",1998,5,12
"160","New Mexico","Butler","New Mexico",1998,4,13
"161","UCLA","Miami (FL)","UCLA",1998,6,11
"162","Michigan","Davidson","Michigan",1998,3,14
"163","UMass","Saint Louis","Saint Louis",1998,7,10
"164","Kentucky","South Carolina State","Kentucky",1998,2,15
"165","Duke","Oklahoma State","Duke",1998,1,8
"166","Syracuse","New Mexico","Syracuse",1998,5,4
"167","UCLA","Michigan","UCLA",1998,6,3
"168","Saint Louis","Kentucky","Kentucky",1998,10,2
"169","Duke","Syracuse","Duke",1998,1,5
"170","UCLA","Kentucky","Kentucky",1998,6,2
"171","Duke","Kentucky","Kentucky",1998,1,2
"172","Arizona","Nicholls State","Arizona",1998,1,16
"173","Tennessee","Illinois State","Illinois State",1998,8,9
"174","Illinois","South Alabama","Illinois",1998,5,12
"175","Maryland","Utah State","Maryland",1998,4,13
"176","Arkansas","Nebraska","Arkansas",1998,6,11
"177","Utah","San Francisco","Utah",1998,3,14
"178","Temple","West Virginia","West Virginia",1998,7,10
"179","Cincinnati","Northern Arizona","Cincinnati",1998,2,15
"180","Arizona","Illinois State","Arizona",1998,1,9
"181","Illinois","Maryland","Maryland",1998,5,4
"182","Arkansas","Utah","Utah",1998,6,3
"183","West Virginia","Cincinnati","West Virginia",1998,10,2
"184","Arizona","Maryland","Arizona",1998,1,4
"185","Utah","West Virginia","Utah",1998,3,10
"186","Arizona","Utah","Utah",1998,1,3
"187","Kentucky","Stanford","Kentucky",1998,2,3
"188","UNC","Utah","UNC",1998,1,3
"189","Kentucky","Utah","Kentucky",1998,2,3
"190","Duke","Florida A&M","Duke",1999,1,16
