School,OverallG,OverallW,OverallL,OverallW-L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School TotalsFG,School TotalsFGA,School TotalsFG_percent,School Totals3P,School Totals3PA,School Totals3P_percent,School TotalsFT,School TotalsFTA,School TotalsFT_percent,School TotalsTRB,School TotalsAST,School TotalsSTL,School TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT/FGA,season,seed
Appalachian State,28,17,11,0.607,-5.33,-5.24,7,8,1986,1806,674,1626,0.415,227,701,0.324,411,558,0.737,1007,333,225,97,0.343,0.431,0.525,50.6,49.4,9.8,0.484,0.253,2021,16
Arizona State,25,11,14,0.44,5.37,8.13,7,10,1858,1927,656,1515,0.433,179,537,0.333,367,504,0.728,797,327,182,82,0.333,0.354,0.53,44.6,49.8,8.8,0.492,0.242,2021,NA
Arizona,26,17,9,0.654,12.69,5.85,11,9,1961,1783,667,1492,0.447,174,468,0.372,453,623,0.727,997,403,152,104,0.418,0.314,0.548,55.1,60.4,11.2,0.505,0.304,2021,NA
Little Rock,26,11,15,0.423,-6.31,-5.35,7,11,1786,1782,638,1401,0.455,147,472,0.311,363,517,0.702,898,354,165,86,0.369,0.337,0.542,52.3,55.5,9.6,0.508,0.259,2021,NA
Arkansas-Pine Bluff,25,4,21,0.16,-22.9,-8.02,3,12,1549,1921,524,1356,0.386,123,400,0.308,378,523,0.723,807,240,160,95,0.386,0.295,0.483,46.7,45.8,9.9,0.432,0.279,2021,NA
Arkansas State,24,11,13,0.458,-7.96,-5.86,7,8,1741,1667,621,1390,0.447,154,402,0.383,345,478,0.722,892,347,158,68,0.344,0.289,0.538,52.5,55.9,7.1,0.502,0.248,2021,NA
Arkansas,28,22,6,0.786,18.06,6.34,13,4,2307,1979,825,1814,0.455,220,649,0.339,437,593,0.737,1119,419,226,145,0.327,0.358,0.55,52.8,50.8,13.5,0.515,0.241,2021,3
Army,21,12,9,0.571,4.67,4.77,7,7,1511,1452,563,1225,0.46,166,502,0.331,219,345,0.635,728,304,133,30,0.282,0.41,0.544,49.6,54,4.2,0.527,0.179,2021,NA
Auburn,27,13,14,0.481,10.27,9.53,7,11,2084,2064,711,1628,0.437,245,751,0.326,417,589,0.708,1063,400,168,163,0.362,0.461,0.546,52,56.3,14.8,0.512,0.256,2021,NA
Austin Peay,27,14,13,0.519,-6.29,-7.85,10,10,2007,1890,733,1617,0.453,194,573,0.339,347,462,0.751,931,357,183,54,0.286,0.354,0.546,52.1,48.7,5.9,0.513,0.215,2021,NA
Ball State,23,10,13,0.435,-1.11,-0.37,8,9,1719,1736,613,1384,0.443,195,570,0.342,298,397,0.751,848,318,126,54,0.287,0.412,0.547,49.4,51.9,6.1,0.513,0.215,2021,NA
Baylor,24,22,2,0.917,23.32,5.36,13,1,2025,1594,746,1513,0.493,248,593,0.418,285,409,0.697,875,409,215,90,0.27,0.392,0.593,53.2,54.8,10.3,0.575,0.188,2021,1
Bellarmine,20,13,7,0.65,-1.96,-6.24,10,3,1486,1307,562,1091,0.515,128,341,0.375,234,314,0.745,608,316,143,42,0.288,0.313,0.599,51.4,56.2,8.1,0.574,0.214,2021,NA
Belmont,30,26,4,0.867,3.88,-8.29,18,2,2439,2074,894,1829,0.489,271,787,0.344,380,515,0.738,1072,547,232,87,0.282,0.43,0.588,50.4,61.2,7.5,0.563,0.208,2021,NA
Binghamton,18,4,14,0.222,-11.45,-4.56,4,10,1178,1302,430,1039,0.414,156,472,0.331,162,241,0.672,642,199,90,55,0.232,0.454,0.511,50.2,46.3,8.3,0.489,0.156,2021,NA
Boise State,26,18,8,0.692,9.61,0.85,14,6,1981,1725,693,1522,0.455,199,582,0.342,396,532,0.744,929,348,172,76,0.35,0.382,0.558,52.3,50.2,7.9,0.521,0.26,2021,NA
Boston College,20,4,16,0.2,1.69,9.84,2,11,1427,1590,500,1186,0.422,180,546,0.33,247,352,0.702,666,230,143,77,0.297,0.46,0.527,47.3,46,10,0.497,0.208,2021,NA
Boston University,18,7,11,0.389,1.11,5.67,6,10,1249,1331,451,1034,0.436,125,393,0.318,222,296,0.75,634,189,97,53,0.286,0.38,0.532,51.2,41.9,7.8,0.497,0.215,2021,NA
Bowling Green State,25,14,11,0.56,1.03,-1.31,10,8,1963,1886,702,1662,0.422,207,644,0.321,352,477,0.738,957,316,181,51,0.287,0.387,0.52,49.6,45,5.5,0.485,0.212,2021,NA
Bradley,28,12,16,0.429,0.5,1.34,6,12,1948,1864,736,1636,0.45,192,603,0.318,284,393,0.723,1033,382,144,98,0.24,0.369,0.534,52.3,51.9,11,0.509,0.174,2021,NA
Brigham Young,26,20,6,0.769,14.58,5.86,10,3,2047,1780,751,1557,0.482,233,616,0.378,312,427,0.731,1024,431,123,73,0.274,0.396,0.582,54.8,57.4,7.2,0.557,0.2,2021,6
Brown,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
Bryant,21,15,6,0.714,0.99,-5.76,10,4,1761,1571,609,1300,0.468,198,515,0.384,345,456,0.757,845,327,143,75,0.351,0.396,0.581,51.5,53.7,8.7,0.545,0.265,2021,NA
