season,wteam,lteam,School,OverallG,OverallW,OverallL,OverallW.L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School.TotalsFG,School.TotalsFGA,School.TotalsFG_percent,School.Totals3P,School.Totals3PA,School.Totals3P_percent,School.TotalsFT,School.TotalsFTA,School.TotalsFT_percent,School.TotalsTRB,School.TotalsAST,School.TotalsSTL,School.TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT.FGA,season.2,seed,School.1,OverallG.1,OverallW.1,OverallL.1,OverallW.L_percent.1,OverallSRS.1,OverallSOS.1,Conf.W.1,Conf.L.1,PointsTm..1,PointsOpp..1,School.TotalsFG.1,School.TotalsFGA.1,School.TotalsFG_percent.1,School.Totals3P.1,School.Totals3PA.1,School.Totals3P_percent.1,School.TotalsFT.1,School.TotalsFTA.1,School.TotalsFT_percent.1,School.TotalsTRB.1,School.TotalsAST.1,School.TotalsSTL.1,School.TotalsBLK.1,SchoolAdvancedFTr.1,SchoolAdvanced3PAr.1,SchoolAdvancedTS_percent.1,SchoolAdvancedTRB_percent.1,SchoolAdvancedAST_percent.1,SchoolAdvancedBLK_percent.1,SchoolAdvancedeFG_percent.1,SchoolAdvancedFT.FGA.1,season.1,seed.1,variable
2007,UCLA,Pittsburgh,UCLA,36,30,6,0.833,20.9,9.84,15,3,2503,2081,923,1922,0.48,240,638,0.376,417,630,0.662,1158,507,263,116,0.328,0.332,0.563,52.4,54.9,6.4,0.543,0.217,2007,2,Pittsburgh,37,29,8,0.784,16.99,8.53,12,4,2637,2324,961,2035,0.472,229,599,0.382,486,735,0.661,1320,647,194,133,0.361,0.294,0.553,53.5,67.3,6.6,0.529,0.239,2007,3,wteam
2007,UCLA,Kansas,UCLA,36,30,6,0.833,20.9,9.84,15,3,2503,2081,923,1922,0.48,240,638,0.376,417,630,0.662,1158,507,263,116,0.328,0.332,0.563,52.4,54.9,6.4,0.543,0.217,2007,2,Kansas,38,33,5,0.868,22.62,6.86,14,2,2978,2344,1106,2241,0.494,231,584,0.396,535,811,0.66,1507,651,350,246,0.362,0.261,0.567,54.6,58.9,11.5,0.545,0.239,2007,1,wteam
2007,North Carolina,Eastern Kentucky,North Carolina,38,31,7,0.816,26.41,9.3,11,5,3258,2608,1187,2379,0.499,215,600,0.358,669,940,0.712,1551,696,309,173,0.395,0.252,0.577,55.8,58.6,7.5,0.544,0.281,2007,1,Eastern Kentucky,33,21,12,0.636,-4.19,-5.28,13,7,2151,2089,782,1691,0.462,264,758,0.348,323,475,0.68,930,477,263,84,0.281,0.448,0.561,46.7,61,4.9,0.541,0.191,2007,16,wteam
2007,Michigan State,Marquette,Michigan State,35,23,12,0.657,16.3,8.45,8,8,2276,2001,806,1718,0.469,182,486,0.374,482,671,0.718,1217,560,180,162,0.391,0.283,0.559,55.6,69.5,9.3,0.522,0.281,2007,9,Marquette,34,24,10,0.706,14.14,6.95,10,6,2443,2207,851,1951,0.436,217,651,0.333,524,783,0.669,1251,475,295,115,0.401,0.334,0.526,52.4,55.8,6.4,0.492,0.269,2007,8,wteam
2007,Southern California,Arkansas,Southern California,37,25,12,0.676,13.78,7.87,11,7,2656,2413,946,1988,0.476,207,523,0.396,557,779,0.715,1277,472,206,148,0.392,0.263,0.563,50,49.9,6.8,0.528,0.28,2007,5,Arkansas,35,21,14,0.6,13.77,8.75,7,9,2487,2311,881,1910,0.461,212,613,0.346,513,730,0.703,1233,521,240,221,0.382,0.321,0.551,51.8,59.1,11,0.517,0.269,2007,12,wteam
2007,Texas,New Mexico State,Texas,35,25,10,0.714,15.6,6.12,12,4,2860,2528,963,2164,0.445,308,792,0.389,626,850,0.736,1391,479,262,197,0.393,0.366,0.557,51.4,49.7,9,0.516,0.289,2007,4,New Mexico State,34,25,9,0.735,5.04,0.01,11,5,2652,2462,906,1890,0.479,199,513,0.388,641,975,0.657,1285,472,242,94,0.516,0.271,0.564,53.4,52.1,4.8,0.532,0.339,2007,13,wteam
2007,Vanderbilt,George Washington,Vanderbilt,34,22,12,0.647,12.76,7.79,10,6,2594,2387,904,1984,0.456,317,843,0.376,469,643,0.729,1146,578,257,93,0.324,0.425,0.567,48.4,63.9,4.8,0.536,0.236,2007,6,George Washington,32,23,9,0.719,5.61,0.64,11,5,2247,2067,824,1799,0.458,171,465,0.368,428,611,0.7,1090,462,292,142,0.34,0.258,0.538,50.6,56.1,8.5,0.506,0.238,2007,11,wteam
2007,Washington State,Oral Roberts,Washington State,34,26,8,0.765,13.33,6,13,5,2273,2024,826,1777,0.465,196,527,0.372,425,593,0.717,1043,472,226,155,0.334,0.297,0.552,48.2,57.1,8.8,0.52,0.239,2007,3,Oral Roberts,34,23,11,0.676,4.54,-1.04,12,2,2440,2206,824,1767,0.466,204,565,0.361,588,827,0.711,1204,459,212,154,0.468,0.32,0.565,53.3,55.7,8.1,0.524,0.333,2007,14,wteam
2007,Boston College,Texas Tech,Boston College,33,21,12,0.636,13.76,9.21,10,6,2453,2303,842,1763,0.478,196,562,0.349,573,791,0.724,1142,483,188,191,0.449,0.319,0.573,51.2,57.4,9.6,0.533,0.325,2007,7,Texas Tech,34,21,13,0.618,9.71,7.16,9,7,2437,2349,842,1858,0.453,208,505,0.412,545,737,0.739,1042,452,231,62,0.397,0.272,0.552,46.5,53.7,3.3,0.509,0.293,2007,10,wteam
2007,Georgetown,Belmont,Georgetown,37,30,7,0.811,19.62,9.48,13,3,2555,2146,923,1826,0.505,235,635,0.37,474,667,0.711,1250,545,192,189,0.365,0.348,0.596,54.3,59,9.8,0.57,0.26,2007,2,Belmont,33,23,10,0.697,-0.39,-4.71,14,4,2390,2128,848,1836,0.462,288,811,0.355,406,587,0.692,1228,513,201,105,0.32,0.442,0.565,51.9,60.5,5.5,0.54,0.221,2007,15,wteam
